[01],[59],[00],[65],[ad],[d5],[23],[b4],23:07:12:53:59:392
[02],[5b],[00],[65],[34],[47],[d0],[4c],23:07:12:53:59:423
[01],[59],[00],[66],[ac],[d5],[23],[b4],23:07:12:53:59:493
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:524
[02],[5b],[00],[66],[34],[47],[cf],[4c],23:07:12:53:59:524
[03],[5b],[00],[66],[3c],[36],[ea],[5e],23:07:12:53:59:555
[01],[59],[00],[67],[ab],[d6],[23],[b5],23:07:12:53:59:593
[02],[5c],[00],[67],[35],[47],[ce],[4b],23:07:12:53:59:624
[01],[59],[00],[68],[ab],[d5],[24],[b6],23:07:12:53:59:693
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:724
[02],[5b],[00],[68],[35],[46],[cd],[4b],23:07:12:53:59:724
[03],[5b],[00],[68],[3e],[36],[e9],[5d],23:07:12:53:59:755
[01],[58],[00],[69],[ab],[d5],[24],[b6],23:07:12:53:59:793
[02],[5b],[00],[69],[35],[46],[cd],[4c],23:07:12:53:59:825
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:924
[02],[5b],[00],[6a],[34],[46],[cf],[4c],23:07:12:53:59:924
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:955
[03],[5b],[00],[6a],[3d],[36],[e9],[5d],23:07:12:53:59:955
[01],[59],[00],[6b],[ad],[d4],[23],[b3],23:07:12:53:59:993
[02],[5b],[00],[6b],[34],[47],[d0],[4c],23:07:12:54:00:25
[01],[58],[00],[6c],[ae],[d4],[23],[b3],23:07:12:54:00:93
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:54:00:124
[02],[5b],[00],[6c],[34],[48],[d1],[4d],23:07:12:54:00:124
[03],[5b],[00],[6c],[3c],[38],[e9],[5d],23:07:12:54:00:156
[01],[59],[00],[6d],[ae],[d4],[23],[b3],23:07:12:54:00:194
[02],[5b],[00],[6d],[34],[48],[d2],[4d],23:07:12:54:00:225
[01],[59],[00],[6e],[ad],[d5],[23],[b3],23:07:12:54:00:294
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:54:00:325
[02],[5c],[00],[6e],[34],[48],[d2],[4d],23:07:12:54:00:325
[03],[5b],[00],[6e],[3b],[38],[e9],[5d],23:07:12:54:00:356
[01],[59],[00],[6f],[ad],[d5],[23],[b3],23:07:12:54:00:394
[02],[5c],[00],[6f],[34],[48],[d2],[4c],23:07:12:54:00:427
[01],[59],[00],[70],[ac],[d5],[24],[b4],23:07:12:54:00:494
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:54:00:526
[02],[5b],[00],[70],[35],[48],[d1],[4c],23:07:12:54:00:526
[03],[5b],[00],[70],[3c],[38],[e8],[5c],23:07:12:54:00:557
[01],[59],[00],[71],[ac],[d5],[24],[b4],23:07:12:54:00:594
[02],[5b],[00],[71],[35],[47],[d1],[4c],23:07:12:54:00:626
[01],[59],[00],[72],[ac],[d5],[24],[b4],23:07:12:54:00:694
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:54:00:726
[02],[5b],[00],[72],[35],[47],[d0],[4c],23:07:12:54:00:726
[03],[5b],[00],[72],[3d],[38],[e8],[5c],23:07:12:54:00:757
[01],[59],[00],[73],[ac],[d5],[24],[b4],23:07:12:54:00:794
[02],[5b],[00],[73],[35],[47],[d0],[4c],23:07:12:54:00:828
[01],[58],[00],[74],[ad],[d5],[24],[b4],23:07:12:54:00:894
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:54:00:926
[02],[5b],[00],[74],[35],[47],[d1],[4c],23:07:12:54:00:926
[03],[5b],[00],[74],[3e],[38],[e8],[5c],23:07:12:54:00:957
[01],[59],[00],[75],[ad],[d5],[24],[b4],23:07:12:54:00:995
[02],[5b],[00],[75],[35],[47],[d0],[4c],23:07:12:54:01:26
[03],[5b],[00],[75],[3e],[38],[e8],[5c],23:07:12:54:01:59
[01],[59],[00],[76],[ad],[d4],[24],[b4],23:07:12:54:01:95
[02],[5b],[00],[76],[34],[47],[d0],[4c],23:07:12:54:01:128
[03],[5b],[00],[76],[3e],[38],[e8],[5c],23:07:12:54:01:159
