DevID,B,C,nthvalue,1,2,3,4
 [02],[00],[00],154,[61],[03],[c0],[ce]
 [03],[00],[00],161,[eb],[43],[58],[39]
 [01],[00],[00],158,[12],[45],[b0],[43]
 [02],[00],[00],155,[61],[03],[c0],[ce]
 [03],[00],[00],162,[eb],[43],[58],[39]
 [02],[00],[00],156,[61],[03],[c0],[ce]
 [03],[00],[00],163,[eb],[44],[58],[39]
 [01],[FF],,159,[00],[00],[00],[00]
 [01],[00],[00],160,[12],[45],[b0],[43]
 [03],[00],[00],164,[eb],[44],[57],[39]
 [01],[00],[00],161,[12],[45],[b0],[43]
 [02],[00],[00],158,[61],[03],[c0],[ce]
 [03],[00],[00],165,[eb],[44],[57],[39]
 [01],[00],[00],162,[12],[45],[b0],[43]
 [02],[00],[00],159,[61],[03],[c0],[ce]
 [03],[00],[00],166,[eb],[44],[57],[39]
 [01],[00],[00],163,[12],[45],[b0],[43]
 [02],[00],[00],160,[61],[03],[c0],[ce]
 [03],[00],[00],167,[eb],[44],[57],[39]
 [01],[00],[00],164,[12],[45],[b0],[43]
 [03],[00],[00],168,[eb],[44],[58],[39]
 [01],[00],[00],165,[12],[45],[b0],[43]
 [02],[00],[00],162,[61],[03],[c0],[ce]
 [03],[00],[00],169,[eb],[43],[57],[39]
 [02],[00],[00],163,[60],[03],[c0],[ce]
 [03],[00],[00],170,[eb],[43],[57],[39]
 [01],[FF],,166,[00],[00],[00],[00]
 [01],[00],[00],167,[12],[45],[b1],[44]
 [03],[00],[00],171,[eb],[43],[57],[39]
 [01],[00],[00],168,[12],[44],[b1],[44]
 [02],[00],[00],165,[60],[04],[c0],[ce]
 [03],[00],[00],172,[eb],[43],[58],[39]
 [01],[00],[00],169,[12],[44],[b1],[44]
 [03],[00],[00],173,[eb],[43],[58],[39]
 [01],[00],[00],170,[12],[44],[b1],[44]
 [02],[00],[00],166,[60],[04],[c0],[ce]
 [03],[00],[00],174,[eb],[44],[57],[39]
 [03],[00],[00],175,[eb],[43],[58],[39]
 [01],[FF],,171,[00],[00],[00],[00]
 [01],[00],[00],172,[12],[44],[b1],[44]
 [03],[00],[00],176,[eb],[43],[58],[39]
 [03],[00],[00],177,[eb],[43],[58],[39]
 [01],[FF],,173,[00],[00],[00],[00]
 [01],[00],[00],174,[12],[44],[b1],[44]
 [02],[00],[00],170,[60],[04],[bf],[ce]
 [03],[00],[00],178,[eb],[43],[58],[39]
 [01],[00],[00],175,[12],[44],[b0],[43]
 [03],[00],[00],179,[eb],[43],[58],[39]
 [01],[00],[00],176,[12],[45],[b0],[43]
 [03],[00],[00],180,[eb],[43],[58],[39]
 [01],[00],[00],177,[12],[45],[b0],[43]
 [03],[00],[00],181,[eb],[44],[58],[39]
 [01],[00],[00],178,[12],[45],[b0],[43]
 [02],[00],[00],174,[60],[03],[c0],[ce]
 [03],[00],[00],182,[eb],[44],[57],[39]
 [01],[00],[00],179,[12],[45],[b0],[43]
 [02],[00],[00],175,[60],[04],[c0],[ce]
 [03],[00],[00],183,[eb],[44],[58],[39]
 [02],[00],[00],176,[60],[03],[c0],[ce]
 [01],[00],[00],180,[12],[44],[b0],[43]
 [03],[00],[00],184,[eb],[44],[57],[39]
 [02],[00],[00],177,[60],[03],[c0],[ce]
 [03],[00],[00],185,[eb],[44],[57],[39]
 [01],[FF],,181,[00],[00],[00],[00]
